ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
9920757,HY109544,01/09/2015 10:49:00 PM,062XX N CICERO AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,PARKING LOT/GARAGE(NON.RESID.),false,false,1711,017,39,12,14,1143316,1940849,2015,01/16/2015 12:48:48 PM,41.993731069,-87.748187501,"(41.993731069, -87.748187501)"
9920715,HY109571,01/09/2015 10:45:00 PM,046XX N BROADWAY,0820,THEFT,$500 AND UNDER,CTA TRAIN,false,false,1913,019,46,3,06,1167917,1930903,2015,01/16/2015 12:48:48 PM,41.965942034,-87.657983512,"(41.965942034, -87.657983512)"
9920682,HY109556,01/09/2015 10:40:00 PM,015XX E 68TH ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,ALLEY,true,false,0332,003,5,43,18,1187639,1860247,2015,01/16/2015 12:48:48 PM,41.77160983,-87.587727149,"(41.77160983, -87.587727149)"
9920708,HY109558,01/09/2015 10:31:00 PM,059XX N TALMAN AVE,4625,OTHER OFFENSE,PAROLE VIOLATION,SIDEWALK,true,false,2011,020,40,2,26,1157544,1939616,2015,01/16/2015 12:48:48 PM,41.990068955,-87.695884638,"(41.990068955, -87.695884638)"
9920722,HY109553,01/09/2015 10:30:00 PM,038XX S PRINCETON AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CHA PARKING LOT/GROUNDS,true,false,0915,009,3,34,26,1174953,1879621,2015,01/16/2015 12:48:48 PM,41.825066411,-87.633651392,"(41.825066411, -87.633651392)"
9920793,HY109685,01/09/2015 10:30:00 PM,014XX W LAKE ST,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1224,012,27,28,07,1166664,1901500,2015,01/16/2015 12:48:48 PM,41.88528557,-87.663435129,"(41.88528557, -87.663435129)"
9921007,HY109959,01/09/2015 10:30:00 PM,035XX S WOOD ST,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,0912,009,11,59,26,1164896,1880957,2015,01/16/2015 12:48:48 PM,41.828951364,-87.670509873,"(41.828951364, -87.670509873)"
9920754,HY109552,01/09/2015 10:26:00 PM,051XX W MADISON ST,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,GAS STATION,true,false,1533,015,28,25,18,1142290,1899502,2015,01/16/2015 12:48:48 PM,41.880290057,-87.752991186,"(41.880290057, -87.752991186)"
9920727,HY109587,01/09/2015 10:23:00 PM,078XX S BURNHAM AVE,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,0421,004,7,43,24,1196122,1853536,2015,01/16/2015 12:48:48 PM,41.752988362,-87.556853973,"(41.752988362, -87.556853973)"
9920718,HY109548,01/09/2015 10:20:00 PM,068XX S MORGAN ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,true,false,0723,007,17,68,26,1170871,1859230,2015,01/16/2015 12:48:48 PM,41.769201523,-87.649222402,"(41.769201523, -87.649222402)"
9920701,HY109572,01/09/2015 10:20:00 PM,010XX W 115TH ST,1812,NARCOTICS,POSS: CANNABIS MORE THAN 30GMS,STREET,true,false,2234,022,34,75,18,1171418,1828592,2015,01/16/2015 12:48:48 PM,41.685114537,-87.648111343,"(41.685114537, -87.648111343)"
9920700,HY109517,01/09/2015 10:15:00 PM,040XX W WEST END AVE,041A,BATTERY,AGGRAVATED: HANDGUN,STREET,false,false,1114,011,28,26,04B,1149318,1900704,2015,01/16/2015 12:48:48 PM,41.883455168,-87.727153703,"(41.883455168, -87.727153703)"
9920702,HY109598,01/09/2015 10:15:00 PM,001XX S KENTON AVE,1506,PROSTITUTION,SOLICIT ON PUBLIC WAY,STREET,true,false,1113,011,28,25,16,1145635,1899142,2015,01/16/2015 12:48:48 PM,41.879239448,-87.740717694,"(41.879239448, -87.740717694)"
9920744,HY109574,01/09/2015 10:13:00 PM,010XX W 57TH ST,5007,OTHER OFFENSE,OTHER WEAPONS VIOLATION,STREET,true,false,0712,007,16,68,26,1170586,1866984,2015,01/16/2015 12:48:48 PM,41.790485633,-87.650041229,"(41.790485633, -87.650041229)"
9923623,HY112886,01/09/2015 10:13:00 PM,106XX S OGLESBY AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,RESIDENCE,false,false,0434,004,10,51,26,1194069,1834951,2015,01/16/2015 12:48:48 PM,41.702040019,-87.564985181,"(41.702040019, -87.564985181)"
9920748,HY109505,01/09/2015 10:00:00 PM,0000X W OHIO ST,0460,BATTERY,SIMPLE,STREET,false,false,1831,018,42,8,08B,1175562,1904136,2015,01/16/2015 12:48:48 PM,41.892323644,-87.630681116,"(41.892323644, -87.630681116)"
9925782,HY114350,01/09/2015 10:00:00 PM,015XX N HOYNE AVE,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,false,false,1424,014,1,24,04A,1162152,1910535,2015,01/16/2015 12:48:48 PM,41.910173777,-87.679751216,"(41.910173777, -87.679751216)"
9921188,HY110201,01/09/2015 10:00:00 PM,040XX W WILCOX ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1115,011,28,26,14,1149556,1898992,2015,01/16/2015 12:48:48 PM,41.878752634,-87.726324207,"(41.878752634, -87.726324207)"
9920900,HY109831,01/09/2015 10:00:00 PM,029XX N SHEFFIELD AVE,0870,THEFT,POCKET-PICKING,STREET,false,false,1933,019,44,6,06,1169149,1919552,2015,01/16/2015 12:48:48 PM,41.934767715,-87.653784625,"(41.934767715, -87.653784625)"
9921111,HY110088,01/09/2015 10:00:00 PM,024XX W FLOURNOY ST,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,1135,011,2,28,08B,1160102,1896919,2015,01/16/2015 12:48:48 PM,41.872852925,-87.687658507,"(41.872852925, -87.687658507)"
